user_id;step_id;cheating_probability (%)
127890;1265485;4.14
127890;1270620;4.14
127890;1270886;4.14
127890;1270897;4.14
127890;1270914;4.14
127890;1270925;4.14
127890;1270933;4.14
127890;1268657;7.28
127890;1269902;7.28
127890;1269910;7.28
127890;1269914;4.14
127890;1269922;7.28
127890;1269927;20.29
220676;1281712;4.14
220676;1281714;86.20
220676;1281717;20.29
220676;1281719;7.28
220676;1281721;4.14
220676;1281725;31.63
220676;1281726;36.11
220676;1281727;23.73
220676;1281730;26.66
326719;1265485;4.14
326719;1270620;4.14
326719;1270886;4.14
326719;1270897;20.29
326719;1270914;4.14
326719;1270925;4.14
326719;1270933;4.14
326719;1269896;31.63
326719;1268657;7.28
326719;1269905;4.14
326719;1269910;7.28
326719;1269914;4.14
326719;1269922;80.79
326719;1269927;4.14
326719;1271028;20.29
326719;1271033;56.33
326719;1271039;56.33
326719;1271046;70.10
326719;1271063;56.33
326719;1271070;70.10
326719;1271074;56.33
326719;1272269;56.33
326719;1272292;56.33
326719;1272294;4.14
326719;1272296;4.14
326719;1272300;7.28
326719;1272304;20.29
326719;1272309;56.33
326719;1272312;56.33
326719;1272315;56.33
326719;1272319;56.33
326719;1272323;56.33
326719;1272327;70.10
326719;1272330;56.33
326719;1272341;56.33
326719;1271099;4.14
326719;1271111;7.28
326719;1271116;87.21
326719;1271131;56.33
326719;1271134;97.92
326719;1271141;56.33
326719;1281825;70.10
326719;1281827;56.33
326719;1281828;4.14
326719;1281829;4.14
326719;1281830;46.46
326719;1281831;4.14
326719;1281832;31.63
326719;1281835;56.33
326719;1281837;56.33
326719;1281839;56.33
326719;1280921;90.28
326719;1281631;96.28
326719;1281634;70.10
326719;1281638;4.14
326719;1281651;7.28
326719;1281667;4.14
326719;1281669;4.14
326719;1281694;7.28
326719;1281696;4.14
326719;1281697;86.20
326719;1281699;20.29
326719;1281701;46.46
326719;1281702;4.14
326719;1281706;31.63
326719;1281712;56.33
326719;1281714;4.14
326719;1281717;4.14
326719;1281719;7.28
326719;1281721;4.14
326719;1281725;90.28
326719;1281726;97.92
326719;1281727;98.57
326719;1281730;98.89
326719;1303113;62.56
326719;1303116;56.33
326719;1303121;56.33
326719;1303124;90.28
326719;1303133;56.33
326719;1303137;56.33
326719;1303141;56.33
326719;1303143;56.33
326719;1303149;70.10
326719;1302948;77.47
